x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.2657,0.3016,2.5586,0.1537,0.9122,-0.552,-0.1556,4.2175,-0.3015,-0.9691,1.472,0.3366,-2.4742,-4.0526,-1.6756
0.4092,1.0928,2.8747,-0.2542,1.514,-0.4686,-0.1843,4.488,-0.9601,-0.4442,1.4389,0.9043,-2.6661,-4.0191,-0.6832
0.3864,1.0031,2.9283,-0.2223,1.6547,-0.1386,0.1902,4.3408,-1.6266,0.1734,1.6819,1.0263,-2.5151,-4.2785,0.1342
0.6228,1.1734,3.4421,-0.2527,1.2425,-0.5781,0.3616,4.4869,-1.7756,0.4992,1.7432,1.1915,-1.6333,-4.0894,0.6877
0.5075,0.7668,4.0774,-0.1258,1.5097,-0.9925,0.3761,4.3689,-2.0692,0.6604,1.9904,1.7639,-1.5711,-3.791,1.6575
0.4084,1.3925,3.9914,-0.4692,1.5258,-0.9111,0.4441,3.8722,-2.8045,1.4455,2.2416,2.1425,-1.6487,-3.6309,2.211
0.1421,1.311,3.4409,-0.5071,1.4083,-0.515,0.5762,3.5963,-2.9325,1.6211,2.1824,2.2208,-1.5949,-3.0859,2.7238
-0.0099,1.5858,3.0913,-0.3641,1.4573,-0.1429,0.4364,2.6382,-2.9973,1.5672,1.8203,2.6645,-1.2385,-2.5343,2.9957
-0.2958,1.0937,2.1837,-0.4483,1.0827,0.2039,0.3494,2.0308,-2.847,1.4189,1.4574,2.5984,-0.7465,-1.5846,2.927
-0.1081,0.9152,1.6005,-0.5846,0.9877,-0.0097,0.5944,1.1197,-2.4682,1.5589,1.177,2.1477,-0.7043,-0.835,3.1606
-0.6319,0.6697,0.1179,-0.0992,0.5764,0.0424,0.5001,0.5181,-2.1091,1.5855,0.5385,1.9421,-0.6577,0.0179,2.798
-0.1151,0.3727,-0.3599,-0.0793,0.3381,0.1184,0.2246,0.0837,-1.4613,1.0481,0.3115,1.2119,0.1154,0.7373,2.4156
-0.1508,0.3464,-0.1449,-0.0037,0.3534,0.1063,0.2964,-0.7195,-0.9043,0.9608,-0.0383,1.025,0.5689,1.0514,1.7275
-0.1469,-0.135,-0.6155,0.0499,0.1142,0.027,0.2409,-1.0649,-0.6492,1.0858,-0.238,0.4535,0.087,1.2178,1.5655
-0.0986,0.2241,-0.713,-0.083,-0.0443,-0.1627,0.1854,-1.0343,-0.3023,1.033,-0.5649,0.0348,0.2076,1.4828,1.1193
-0.072,-0.7882,-0.6793,0.193,-0.3477,-0.3702,0.1438,-1.0869,0.0013,0.6982,-0.5583,-0.186,0.5487,2.1164,0.5669
