x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.2768,-0.3893,3.7084,0.4995,0.612,-1.3055,-1.7869,5.2065,2.1371,-4.7258,1.4092,-2.4996,-3.7445,-5.7012,-6.6402
0.3744,0.7596,5.5223,0.0572,1.5541,-1.5363,-1.2773,7.1437,0.9265,-3.9322,2.6641,-1.3344,-4.3381,-6.9857,-5.5745
0.3883,0.609,7.2006,-0.0784,2.5196,-1.7109,-0.6162,8.6895,-0.0352,-3.2186,3.9475,0.1009,-4.5907,-8.6886,-4.1904
0.211,1.9193,8.7457,-0.533,3.7217,-1.4419,-0.4343,9.485,-1.7998,-1.6084,4.9162,1.5652,-4.9818,-10.0591,-1.8864
-0.3153,3.2463,9.3621,-1.0804,4.0306,-1.1506,0.211,10.3571,-3.7769,-0.334,5.4289,3.3668,-5.1022,-10.7107,-0.0386
-0.4377,3.3289,9.6492,-1.5419,4.3374,-0.7861,0.9029,9.7343,-5.643,0.1002,5.9832,4.5995,-4.6713,-10.9517,1.7927
-0.3378,3.4982,9.2654,-1.7961,5.5931,-0.7399,1.7292,9.5416,-5.8983,1.8928,5.9647,5.5714,-4.2958,-9.8725,3.4539
-0.8544,3.6582,8.6,-1.8993,4.8634,-0.6543,2.5133,9.0214,-5.9747,3.5751,5.7148,6.2192,-3.6823,-9.4872,5.5117
-0.6306,3.2661,8.4386,-1.9659,4.6906,-0.2683,2.8458,7.8878,-6.7339,3.9427,5.4914,6.3676,-2.9252,-8.59,6.9318
-0.8318,3.4633,7.3335,-1.967,4.1612,-0.032,3.0743,6.8573,-6.3317,4.9179,5.1716,6.4715,-2.1752,-6.9127,7.8059
-1.1029,2.6557,6.5549,-1.7214,3.6471,0.5543,2.9928,5.1345,-6.4113,4.7963,4.6659,6.4759,-1.0734,-5.6391,8.2818
-0.9277,2.2105,5.3324,-1.5766,3.0522,0.9032,2.9036,3.3444,-6.1086,5.22,4.2777,6.0059,-0.1987,-3.8582,8.9092
-1.057,2.5543,3.0336,-1.4394,2.8441,1.1028,3.3066,1.7484,-5.964,5.8243,3.5548,5.6316,0.6077,-1.829,8.9524
-0.9555,2.0633,1.5868,-1.5399,2.0595,0.9377,2.9883,0.3575,-4.5874,5.4761,2.3475,5.0719,1.624,-0.2561,8.2007
-1.0317,1.4735,0.5915,-1.3393,1.4515,1.0116,2.8107,-1.6767,-3.9206,5.1391,1.5133,4.0624,2.4171,1.4559,7.1234
-0.9111,0.8732,-0.8302,-1.0984,0.958,0.7267,2.7897,-3.3628,-3.1205,4.6307,0.802,3.3147,3.0991,3.3371,6.1771
-0.8794,-0.1644,-2.8808,-0.7808,0.3393,0.8502,2.2082,-5.9788,-2.5083,4.5212,-0.1265,2.1615,4.1193,5.0862,5.4328
-0.7985,-0.834,-5.3932,-0.3449,-0.6501,0.8155,1.9072,-7.1424,-0.8313,4.317,-1.5423,1.3181,4.3039,7.0383,4.4262
-0.4343,-1.5398,-6.5801,-0.0153,-1.9153,1.0484,1.3736,-8.6597,0.6828,3.3871,-2.7118,0.0202,4.9646,8.375,3.0302
-0.2931,-2.1818,-7.6619,0.32,-2.7464,0.7066,0.9573,-9.5063,2.258,2.514,-3.9667,-1.5669,5.216,9.5306,1.5639
-0.3729,-2.9792,-8.4833,0.9395,-3.3158,0.6407,0.337,-9.6166,3.8357,1.2891,-4.5828,-3.3082,5.2432,10.2762,0.2515
-0.2421,-3.1209,-8.5401,1.1647,-3.4883,0.4402,-0.095,-9.7534,4.4775,0.4313,-4.7784,-4.489,4.983,9.9933,-1.6736
-0.28,-3.5289,-8.4543,1.1838,-3.9849,0.1761,-0.7782,-9.4558,5.3667,-0.9826,-4.9233,-5.5096,4.6931,9.5898,-3.6119
0.1161,-4.0484,-8.3247,1.5426,-3.8249,-0.0944,-1.4929,-8.6086,5.8712,-2.3446,-5.0711,-6.0488,4.2561,9.1952,-5.5707
0.4074,-3.4462,-7.8377,1.6047,-3.6629,-0.3126,-1.9776,-8.047,5.8224,-2.846,-4.7893,-6.3751,3.4745,8.2896,-6.7677
0.1535,-3.1386,-7.1791,1.7989,-2.7447,-0.2639,-2.3801,-7.1715,6.6399,-3.3766,-4.5028,-6.6336,2.7205,7.2751,-7.601
0.1938,-3.1115,-6.4343,1.7744,-2.574,-0.2685,-2.4552,-7.2008,5.6976,-3.8319,-3.8771,-6.3764,2.2602,5.5594,-8.0378
0.6596,-2.4192,-6.0737,1.6305,-2.4504,-0.471,-1.9706,-5.7183,5.5004,-3.7846,-3.8698,-6.2779,1.4667,4.1729,-8.3577
0.5229,-2.5108,-5.2942,1.4483,-2.0016,-0.6758,-2.2736,-4.2923,5.6025,-4.1584,-3.3472,-6.0874,1.2096,3.0515,-8.381
