x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
-0.1102,0.826,3.0233,-0.1299,1.0664,-0.6576,0.186,3.5197,-0.7285,-0.9519,1.262,0.0986,-1.6779,-4.2134,-1.2331
-0.1055,0.7898,3.2372,-0.1143,1.1251,-0.3978,-0.0675,3.8202,-1.206,-0.8689,1.2968,0.7763,-1.7945,-4.1011,-0.4898
0.475,0.851,3.8965,-0.224,1.499,-0.4418,0.3232,3.5381,-1.7526,-0.4825,1.539,1.174,-1.7703,-4.0491,0.0706
0.357,0.9327,3.81,-0.3874,2.0395,-0.8638,0.6166,3.4739,-2.2077,0.8339,1.951,1.1341,-1.5997,-3.9509,1.044
-0.1971,1.0859,3.5185,-0.4478,1.944,-0.5149,0.7575,3.4291,-2.3595,1.5556,2.0858,1.0554,-1.5863,-3.5378,2.2255
-0.052,1.2332,3.4452,-0.4964,1.5205,-0.5357,1.0378,3.0209,-2.2101,1.4977,1.9584,0.9752,-1.1323,-3.5081,2.9074
-0.0363,0.9574,3.0129,-0.3693,1.4893,-0.6488,0.642,2.9577,-2.0559,1.4108,1.9115,1.6532,-1.0244,-3.0163,3.3502
-0.2658,1.0632,2.7563,-0.4972,1.2634,0.1023,0.5366,1.7964,-2.3565,1.6056,1.31,2.3092,-0.9546,-2.8181,3.0443
0.0104,0.8098,2.0692,-0.6436,1.0149,-0.3955,0.5308,1.6557,-2.3264,1.595,0.9208,2.0113,-0.6181,-2.1623,2.5949
-0.1448,0.5984,1.4818,-0.4054,0.7258,-0.002,0.4546,1.0871,-1.9812,1.6463,0.5699,1.3554,-0.347,-1.6632,2.5244
-0.1472,0.4848,1.3211,-0.3215,0.5849,0.0916,0.8408,0.5472,-1.669,1.573,0.6764,1.3777,-0.2197,-0.8771,2.6576
-0.2019,0.378,0.8101,-0.4056,0.467,0.3006,0.7452,0.3422,-1.4135,1.4736,0.1427,1.3492,0.0651,0.1247,2.4866
-0.5132,-0.0482,0.5039,0.0957,0.3001,0.4418,0.5755,-0.5803,-1.3465,1.3186,0.475,1.1898,0.2143,0.6861,2.3066
-0.1313,-0.1252,-0.1844,0.1173,-0.1477,0.8826,0.5101,-1.6739,-1.5103,1.272,0.7607,1.0816,0.8149,0.8621,2.401
-0.2631,-0.0989,-0.9162,0.0134,-0.1364,0.7632,0.3402,-2.9356,-1.1506,1.3374,0.3241,0.7578,1.0606,1.8882,2.058
-0.2188,-0.0952,-1.9218,-0.379,-0.5667,0.3571,0.1159,-3.4704,-0.3836,1.0924,-0.8902,0.7752,1.275,2.4972,1.4398
-0.5367,-0.6484,-2.7201,0.1886,-0.8819,0.4987,0.1098,-4.0284,0.0692,0.5549,-1.5061,0.3189,1.3384,2.8981,0.7289
