x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.1556,0.4475,2.2046,-0.6144,1.0357,-0.1498,0.0127,2.8371,-1.1113,-0.8054,1.0321,0.637,-1.1176,-3.2787,-0.5154
0.3897,0.469,2.766,-0.1986,1.1028,-0.085,0.1566,2.6283,-1.1597,-0.2586,1.6957,0.7714,-1.1699,-3.3204,0.51
0.3191,0.901,2.3315,-0.4287,1.178,-0.0125,0.2033,2.1912,-1.7379,0.6713,1.5794,1.2372,-1.0686,-2.98,1.1004
0.3595,0.72,1.9901,-0.3641,0.7815,-0.2032,0.3124,2.203,-1.5648,0.6341,1.3831,1.5756,-0.7407,-2.3737,1.428
0.3341,0.7057,1.879,-0.4797,0.6963,0.0744,0.1368,1.6232,-1.6758,0.3424,1.187,1.4024,-0.3361,-1.9921,1.6425
0.195,0.7114,1.5314,-0.6519,0.6154,0.107,0.0912,1.1043,-1.689,0.5907,1.0598,1.1682,-0.2942,-1.2529,1.8595
0.1494,0.7503,1.2017,-0.6748,0.3956,-0.0482,-0.1022,0.5866,-1.3273,1.1908,1.0236,0.9871,-0.1277,-0.4246,1.8884
0.0774,0.4808,0.378,-0.5838,0.4427,-0.1693,-0.0397,0.1699,-1.0458,0.8566,0.6059,1.026,0.0103,-0.1932,1.7303
0.3418,0.3828,-0.5674,-0.1122,0.2494,-0.2714,-0.0163,-0.0819,-0.587,0.4988,0.534,0.8408,0.0057,-0.1312,1.2002
0.4421,-0.2719,-0.357,-0.8984,0.0645,-0.1751,0.0191,-0.0828,-0.024,0.2766,0.4491,0.5043,0.2739,-0.129,1.1358
0.1955,-0.0915,-0.3681,-0.6713,-0.2006,-0.3263,-0.0445,-0.1819,0.1117,0.0175,0.0043,0.6597,0.5118,-0.2125,0.5562
0.4333,-0.4014,-0.5952,-0.4629,-0.2244,-0.3751,-0.3808,0.1855,0.2744,-0.2529,-0.111,0.0599,0.0501,-0.0773,0.257
0.4446,-0.6628,-0.3159,-0.332,-0.1616,-0.2043,-0.6946,0.2351,0.3988,-0.0586,-0.1785,-0.1735,0.2591,-0.3289,-0.1745
0.5492,-0.4412,-0.1088,-0.357,-0.0591,-0.2911,-0.6436,0.4833,0.3391,-0.424,-0.1732,-0.4227,0.0972,-0.313,-0.4226
0.5743,-0.3341,0.3959,-0.3503,0.0224,-0.1431,-0.5319,0.8128,0.5158,-0.452,-0.359,-0.4577,0.1686,-0.6982,-0.3162
0.1751,-0.2039,0.7457,0.0225,0.2733,-0.0778,-0.7328,1.3721,0.2596,-0.471,0.2902,-0.7293,-0.0505,-0.8947,0.017
0.224,-0.0526,1.047,-0.0894,0.2102,0.0005,-0.7891,1.287,-0.128,-0.5443,0.5888,-0.454,-0.1464,-1.5164,0.0066
0.1884,0.0406,1.2851,-0.2896,0.4646,-0.0786,-0.4583,1.3676,-0.3991,-0.7132,0.6816,-0.4936,-0.3759,-1.2884,-0.1015
0.4145,0.1653,1.0904,-0.4887,0.6002,0.8636,-0.3845,0.8573,-0.8748,-0.6009,0.5413,-0.2689,-0.2211,-1.5454,-0.3124
0.359,0.4001,0.4118,-0.4489,0.8382,0.7402,-0.2874,0.9492,-0.9035,-0.2941,0.5751,-0.1564,0.027,-1.2062,-0.0966
0.2863,0.0536,0.5817,-0.6815,0.7229,0.3003,-0.1467,0.9492,-0.3097,-0.2805,0.6767,-0.1337,-0.1036,-1.407,0.1421
1.1669,0.2402,1.3805,-0.5509,0.6841,-0.2792,-0.1297,1.3938,-0.0451,-0.0707,0.7524,0.0948,-0.045,-1.4538,0.3965
0.9352,0.412,1.8719,-0.5265,0.7655,-0.2275,-0.1297,1.571,-0.4252,0.417,0.7925,0.3015,-0.4493,-1.5145,0.81
0.7013,0.7386,1.5353,-0.592,0.9471,-0.286,0.0582,1.7011,-0.7896,0.6262,0.9876,0.389,-0.2461,-1.574,1.1194
0.3137,0.2895,1.213,-0.7204,0.7735,-0.0065,0.1587,1.6692,-1.1108,1.163,0.8032,0.558,-0.0416,-1.4338,1.4571
0.4405,0.203,1.3708,-0.4666,0.6181,0.073,0.2706,1.2455,-0.9391,0.5814,0.7587,0.6265,0.2124,-1.2786,1.6751
0.5403,0.4546,0.842,-0.6122,0.5423,-0.151,0.1176,1.0607,-0.8628,0.4449,0.5382,0.6017,0.3888,-0.9869,1.6335
0.8648,0.3763,1.0589,-0.6711,0.5722,-0.6473,0.1672,1.0281,-0.5756,0.5457,0.4586,0.514,0.6703,-0.4268,1.3099
0.2689,0.3026,0.6699,-0.3567,0.7857,-0.6802,0.1413,0.7834,-0.9186,0.3151,0.6887,0.4012,0.6194,-0.5295,1.4856
0.3518,0.0655,0.7492,-0.0574,0.6156,-0.3305,0.1098,0.5996,-0.3491,0.3845,0.9417,0.2608,0.4585,-0.0597,1.6282
0.0747,0.4805,0.6375,-0.3103,0.4244,0.0631,0.1572,0.0162,-0.6494,0.9375,0.9745,0.3151,0.7808,0.3537,1.9953
0.15,0.0633,-0.0271,-0.2855,0.3604,-0.0623,0.2126,-0.4231,-1.0818,0.8333,0.7978,0.1384,0.8744,0.6334,1.9371
0.4159,0.1292,-0.2144,-0.4505,0.2252,0.1036,0.046,-1.1091,-0.5348,0.7816,0.2864,-0.1296,0.9596,0.8273,1.6349
-0.2709,0.0517,-1.5892,-0.6134,0.1379,1.2284,-0.0037,-1.5543,-0.7019,0.7323,-0.7418,-0.3306,1.2584,1.3666,1.0724
0.0447,-0.7897,-2.3477,-0.3589,-0.162,0.8273,-0.1284,-1.3723,0.1363,-0.1822,-0.7733,-0.6577,1.1455,1.7146,-0.04
0.1368,-0.8209,-2.0295,-0.2113,-0.321,0.2145,-0.206,-1.2805,0.968,-0.2842,-0.6745,-1.021,1.0971,1.6236,-0.573
0.292,-0.7181,-1.7671,-0.0676,-0.3396,0.7371,-0.1369,-1.2267,1.4395,-0.5259,-0.6356,-1.1469,1.202,0.8163,-0.8442
