x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.1305,-0.2876,1.1738,-0.2074,-0.0114,-0.0978,-0.2521,2.4204,1.224,-1.8658,0.2291,-1.1866,-0.8247,-3.043,-2.5266
0.1326,0.3661,2.0886,0.0578,0.4296,-0.0308,-0.2699,3.3009,0.6334,-1.4723,0.9313,-0.4518,-0.8069,-3.2417,-1.8989
0.2023,1.0019,2.7819,-0.2825,0.8421,0.0893,-0.0923,3.3756,-0.4084,-1.556,1.0718,-0.0163,-0.891,-4.3728,-1.2783
0.2348,0.7048,3.2324,-0.5999,1.2785,0.1444,0.092,3.3322,-1.1514,-0.9109,1.486,0.4923,-0.8264,-4.372,-0.5055
0.3224,0.9549,3.1891,-0.2172,1.3919,0.0533,0.4908,3.8336,-1.3253,0.0536,2.1297,0.6511,-0.785,-4.0886,0.5958
0.2502,1.3528,3.5002,-0.7425,1.2043,-0.0644,0.4558,3.4321,-1.8396,0.6347,2.1769,1.3589,-0.6318,-4.0115,1.6328
0.0322,2.2649,3.0406,-0.5928,1.3026,0.0879,0.6806,2.6558,-2.5452,0.7337,2.2758,1.47,-0.6277,-3.7084,2.1097
0.0448,1.403,2.4203,-0.7279,1.2974,0.0487,0.6707,2.311,-2.9389,2.1115,2.0509,1.9489,-0.5718,-2.6103,2.9685
-0.0272,1.1861,1.8559,-0.6821,0.7561,0.1626,0.5901,1.5496,-2.7507,1.9039,1.6663,1.7868,-0.0038,-1.5959,3.3106
-0.019,0.8488,1.1039,-0.6089,0.3496,0.0993,0.2986,0.6451,-2.1048,1.6718,1.8397,1.6195,0.6881,-0.6961,3.3552
-0.1041,1.0953,0.7629,-0.598,0.3322,0.1103,0.1587,-0.4868,-1.9304,1.5201,1.1838,1.773,0.8542,0.2054,3.0867
-0.0801,0.2426,-0.1318,-0.8083,0.178,0.2318,0.2627,-1.3734,-1.9318,1.4311,0.458,1.457,1.4446,0.7625,2.5388
-0.3934,0.4272,-1.2829,-0.5625,-0.0045,0.3365,-0.0896,-1.9995,-1.2794,1.5214,-0.0789,0.7906,1.842,1.602,2.067
-0.1146,0.0272,-2.0179,-0.3321,-0.2993,0.2953,0.014,-2.7328,-0.8847,1.2404,-0.6045,0.2378,1.6389,2.4588,1.4314
-0.0761,-0.1102,-2.6693,-0.3887,-0.6481,0.2442,0.143,-2.9245,-0.5341,1.2458,-1.0583,-0.053,1.8026,3.1668,1.0473
-0.2433,-0.3514,-2.8146,-0.1967,-1.037,0.2481,-0.2537,-3.2612,-0.1453,0.5464,-1.6097,-0.5173,1.9429,3.6172,0.3227
-0.198,-0.6863,-3.0898,-0.0491,-1.0534,0.2418,-0.3102,-3.4894,0.5181,0.1858,-1.8016,-1.057,1.8149,4.0179,-0.5031
-0.073,-0.8643,-3.1801,0.0035,-1.1318,0.1926,-0.5825,-3.5186,1.0677,-0.3825,-1.8091,-1.6082,1.9814,3.7403,-1.203
-0.1022,-0.8999,-3.1949,0.0936,-1.3905,0.1304,-0.5944,-3.5645,1.1721,-0.5945,-1.72,-1.889,1.97,3.1843,-1.5399
0.0667,-0.8982,-3.1637,0.1698,-1.3704,0.0907,-0.9418,-3.3959,1.2271,-0.4368,-1.3899,-1.8791,1.8923,3.0146,-1.6838
-0.0911,-0.7074,-3.1322,0.1036,-1.4037,0.1617,-1.1613,-2.7245,1.8164,-0.7354,-1.3473,-1.8607,1.3665,2.6165,-2.034
-0.1631,-0.9675,-2.3728,0.1783,-1.0874,-0.1504,-1.0566,-1.9863,2.0015,-1.2034,-1.0416,-1.9595,1.0866,1.879,-2.2857
-0.3302,-0.8846,-1.6615,0.229,-0.9458,-0.1756,-1.1217,-1.8386,1.1792,-0.6337,-0.9195,-2.0249,0.9019,1.3524,-2.191
-0.1897,-0.7227,-1.6007,0.2489,-0.6703,-0.3579,-1.1191,-1.2473,1.959,-1.0201,-0.6507,-1.7874,0.918,0.9208,-2.2635
-0.165,-0.6902,-1.4304,0.4362,-0.6546,-0.3686,-0.9139,-0.5456,1.0793,-0.7006,-0.4855,-1.4701,0.7573,0.3077,-2.2617
-0.0761,-0.3378,-1.1595,0.1764,-0.7257,-0.3459,-0.5054,-0.5002,0.5151,-0.5804,-0.6366,-1.3431,0.6249,-0.3238,-2.0761
-0.1673,-0.555,-1.1142,0.2319,-0.6842,-0.2105,-0.3665,-0.0675,1.2397,-0.8697,-0.3121,-1.4939,0.7044,-0.7413,-2.0073
-0.2288,-0.4383,-0.5757,-0.0609,-0.545,-0.1745,-0.321,0.4973,1.0476,-1.2413,0.0913,-1.141,0.2516,-1.1629,-1.7836
-0.1352,-0.0899,0.0021,-0.2118,-0.245,-0.2591,-0.7361,0.9993,0.3971,-1.1843,0.0374,-0.6748,0.5126,-1.257,-1.6837
-0.1828,0.1095,0.3862,-0.3741,0.0289,-0.3144,-0.7953,0.8888,0.177,-1.0527,-0.4426,-1.0098,0.0242,-1.323,-1.8666
-0.0461,0.1047,0.3128,-0.2187,0.1132,-0.3598,-0.6154,1.8568,0.5398,-1.1023,0.2359,-0.5242,-0.4527,-1.4703,-1.7606
0.1172,-0.3681,0.967,-0.0737,0.2037,-0.3767,-0.5207,2.101,0.0095,-1.2394,0.6207,-0.4963,-0.7418,-1.7721,-1.5629
0.3622,0.1681,1.4564,-0.1877,0.5014,-0.4583,-0.4161,2.6141,-0.4561,-0.4239,1.1857,-0.5844,-0.9935,-2.3557,-0.7458
0.2116,0.3495,1.7385,-0.4409,0.4029,-0.4227,-0.3509,2.839,-0.8461,-0.0138,1.2425,-0.4355,-1.4118,-2.2172,-0.3346
0.2516,0.5007,1.9309,-0.6283,0.6214,-0.5069,-0.2284,3.0169,-1.1699,-0.055,1.3452,-0.3251,-1.3133,-2.7843,-0.1401
0.0689,0.4064,1.9138,-0.4155,0.7414,-0.4586,-0.2545,3.0932,-1.2969,-0.208,1.6855,-0.1831,-1.0117,-2.562,0.1416
0.1006,0.7991,2.0888,-0.5326,0.8927,-0.291,-0.0734,3.0123,-1.7235,0.1193,1.8408,0.2239,-0.6715,-2.7701,0.3668
-0.0241,0.9775,1.9582,-0.5454,0.959,-0.3531,0.36,2.4495,-1.8293,0.3808,1.8932,0.4484,-0.5852,-2.4785,0.7975
0.0863,0.6716,1.5135,-0.9237,0.9622,-0.2965,0.2615,2.3782,-1.9099,0.6145,1.5578,0.5057,-0.2792,-2.2196,1.1827
-0.1085,1.0672,1.4104,-0.946,0.6102,-0.1973,0.191,2.0839,-1.9795,1.0942,1.353,0.7726,-0.0019,-1.6503,1.4402
-0.2605,0.4592,1.174,-0.6736,0.3355,-0.121,-0.0009,1.7937,-1.689,0.7922,1.3596,0.6435,0.1974,-1.8189,1.5082
-0.3267,0.4218,1.0229,-0.6496,0.3258,-0.1702,-0.0908,2.0828,-1.271,0.7742,1.3039,0.558,0.0751,-1.3241,1.4047
-0.3934,0.6292,1.1259,-0.5616,0.3622,0.0415,-0.3317,1.3239,-1.7564,0.6127,1.2732,0.5578,0.1856,-1.3236,1.1391
-0.3841,0.3227,0.6376,-0.4975,0.4813,0.0097,0.1374,0.5884,-1.7304,0.6698,1.0611,0.8632,0.3631,-1.0739,1.1564
-0.2869,0.014,0.1079,-0.1847,0.388,0.0895,-0.0258,0.8234,-1.2199,1.0782,1.1221,0.7559,0.5551,-0.784,1.1664
-0.5261,0.5794,-0.1907,-0.489,0.1791,0.0895,-0.2872,0.3701,-0.9376,0.9801,0.9526,0.6316,0.4541,-0.5855,1.0955
-0.4085,0.2463,-0.2244,-0.5984,0.0226,0.0055,-0.0668,0.3728,-0.5682,0.4265,0.7706,0.8503,0.4497,-0.4654,0.9267
-0.3685,0.3238,-0.2023,-0.2921,0.1246,0.0478,-0.381,0.3119,-0.5505,0.326,0.6018,0.8878,0.723,-0.1176,0.6538
-0.5956,0.0032,-0.2653,-0.3151,0.3528,0.0088,-0.4356,0.286,-1.0292,0.6069,0.5261,0.3142,0.946,-0.0583,0.4027
-0.5165,0.1014,-0.4146,-0.5068,0.1046,0.0686,-0.5841,-0.1691,-1.1012,0.7314,0.5799,-0.1034,0.683,-0.0951,0.4566
-0.7688,0.3624,-0.7508,-0.5799,-0.0216,-0.2058,-0.4758,-0.0488,-0.9348,0.7779,0.1871,-0.2593,0.5158,0.1426,0.4251
-0.6187,0.5425,-0.9625,-0.4829,-0.0186,-0.1777,-0.9132,0.0897,-0.2252,0.3094,0.3097,-0.3311,0.6044,0.4353,0.0335
-0.4983,0.328,-0.5934,-0.2544,-0.1313,-0.0343,-0.6961,0.2127,-0.4994,-0.4135,0.2704,-0.4135,0.1834,0.5443,-0.4217
-0.4744,0.216,-0.5498,-0.1341,0.0866,-0.1105,-0.4078,0.0737,-0.4038,-0.229,0.3466,-0.2755,0.2192,0.3729,-0.3095
-0.4729,0.6992,-0.477,-0.2152,0.174,-0.0676,-0.3472,0.029,-0.3772,-0.1721,0.1657,-0.6303,0.462,0.0042,-0.3685
-0.5225,-0.0041,-0.8055,-0.1796,0.0126,-0.0827,-0.8225,0.2188,-0.3788,0.0221,0.3835,-0.6999,0.3998,-0.1719,-0.3083
-0.2986,-0.019,-0.4589,-0.198,-0.0201,-0.237,-1.3288,0.3514,-0.0002,0.1263,0.4918,-0.6726,0.0103,-0.1912,-0.2862
-0.4843,0.3126,-0.3161,0.0073,-0.0693,-0.3324,-1.1496,0.593,1.1538,-0.2611,0.5707,-0.5388,-0.3568,-0.2645,-0.8668
-0.5618,0.3231,0.1735,-0.2544,-0.0022,-0.2908,-0.7745,0.915,-0.0025,-0.7713,0.5833,-0.4927,-0.3599,-1.4876,-1.1917
-0.5806,-0.2038,0.4192,-0.056,0.1862,-0.2532,-0.5815,1.0329,-0.4375,-0.7648,1.124,-0.0303,-0.5982,-1.1528,-1.1717
-0.5097,0.418,0.3605,-0.2876,0.1955,-0.1738,-0.3271,0.9673,-0.3399,-0.345,1.3103,0.2883,-0.4364,-0.999,-0.711
-0.4129,0.6297,0.3894,-0.267,0.3904,-0.3286,-0.3739,1.202,-0.7612,-0.2053,1.2572,0.4266,-0.3197,-1.3328,-0.4832
-0.574,0.6035,0.3027,-0.2909,0.3655,-0.1786,-0.5276,1.5031,-0.7827,-0.0611,1.1673,0.6321,-0.238,-0.6397,-0.0932
-0.5562,0.6698,0.7428,-0.2161,0.3987,-0.3177,-0.3518,0.9926,-1.2688,-0.3795,1.2184,0.4809,0.1146,-0.8209,-0.3758
-0.5774,0.6414,0.6541,-0.1966,0.6721,-0.4415,-0.0107,0.4325,-1.6077,0.1436,1.3753,0.5932,0.0641,-0.3583,-0.0545
-0.7723,0.8683,0.0442,-0.3226,0.722,-0.2338,-0.0247,0.3664,-1.4887,0.2975,1.4078,0.552,0.2909,-0.1886,0.408
-0.6976,0.8405,-0.5775,-0.9186,0.5937,-0.2025,-0.3028,-0.0612,-1.5855,0.9658,0.6428,0.8738,0.247,0.3046,0.5129
-0.3262,0.7342,-1.0306,-0.5348,0.3992,-0.3682,-0.5859,-0.0693,-0.9525,0.761,0.0045,0.4293,0.4967,0.5602,0.4811
-0.4701,0.1144,-1.2482,-0.9753,0.1829,-0.4344,-0.3883,-0.1453,-0.4906,0.2149,-0.0531,0.1773,-0.1992,0.5884,-0.1335
-0.4378,0.3123,-1.3871,-0.844,-0.1089,-0.4155,-0.3843,-0.0765,0.0324,0.2497,-0.2175,0.0595,-0.0012,0.5181,-0.3123
-0.3995,0.1886,-1.3184,-0.6597,-0.1345,-0.1659,-0.327,0.0688,-0.0166,-0.4604,-0.4123,-0.3769,0.0522,0.3309,-0.7531
-0.697,0.2641,-1.257,-0.4084,-0.093,-0.0072,-0.3674,0.4968,0.1209,-0.5896,-0.005,-0.7042,0.2709,0.3119,-0.9217
-0.5926,-0.2938,-1.1841,-0.2683,0.0596,-0.0275,-0.4983,0.2161,-0.1519,-0.5363,0.1337,-1.0297,0.1044,-0.0222,-1.1605
-0.513,0.4585,-1.0905,0.3215,0.857,-0.0634,0.0357,0.4731,-0.7892,0.1432,0.4231,-1.1245,-0.2347,0.0279,-0.6416
-0.5842,0.6256,-0.9587,-0.138,0.6126,0.1303,0.0941,0.5738,-0.528,0.3225,0.442,-0.8518,0.12,-0.7811,-0.0629
-0.4729,0.3924,-0.7743,0.2636,0.3668,0.0093,-0.0494,0.5778,-0.1484,0.3807,0.7257,-0.5706,0.0648,-0.5859,0.2715
-0.3421,0.9023,-0.8009,0.0261,0.3319,0.0785,0.2635,0.5949,-0.262,0.1927,0.9705,-0.4513,0.2158,-0.595,0.4021
-0.4443,1.2523,-0.4398,-0.102,0.524,0.0988,0.3846,0.7102,-0.2413,0.0991,0.7438,-0.6645,0.7242,-0.4892,0.5925
-0.4659,0.8668,-0.5748,-0.1756,0.323,0.0073,0.2801,0.2805,-0.9626,0.2101,0.8246,-0.301,0.6898,-0.8502,0.5754
-0.7503,1.0456,-0.9064,-0.2103,0.1329,0.0879,0.2955,0.408,-0.9077,0.3983,0.7217,-0.1147,0.5379,-0.5799,0.8498
-0.4786,0.9703,-0.7884,-0.3069,0.1123,-0.1497,-0.2465,0.4611,-0.6299,-0.0356,0.5896,-0.1009,0.8605,0.0033,0.5873
-0.5598,0.7499,-0.7051,-0.4167,0.1227,-0.2,-0.2143,-0.1151,-0.9157,0.1268,0.2875,-0.0669,0.3459,-0.0156,0.4073
-0.4225,0.8278,-0.9573,-0.6483,0.0369,-0.2707,0.0065,0.234,-0.2408,0.0262,0.2204,0.1666,0.093,0.0638,0.1323
-0.4612,0.6043,-0.4594,-0.4242,0.193,-0.096,0.2226,0.3681,-0.0617,0.5642,0.4335,-0.0103,0.0308,0.4392,0.1387
-0.2642,0.8676,-0.4347,-0.4312,0.1671,-0.2162,-0.1807,0.4598,-0.1857,0.0472,0.7152,-0.0423,-0.2427,0.2794,0.2285
-0.5115,0.591,-0.4698,-0.3076,0.3866,-0.2066,-0.1184,0.1041,-0.7876,0.1881,0.7275,0.3403,0.3987,0.2413,0.0342
-0.6337,0.8765,-0.8251,-0.4089,0.3911,-0.0406,-0.1222,-0.4167,-1.0256,0.4298,0.5833,0.0984,0.4042,0.1651,0.3028
-0.7312,0.9889,-1.3677,-0.5801,0.1168,-0.0449,0.2629,-0.5348,-1.296,0.5351,0.1842,0.2707,0.4086,0.5795,0.3198
-0.5778,0.6832,-1.6586,-0.4707,-0.1003,-0.313,0.5328,-0.5603,-0.361,-0.0529,0.0901,0.3579,0.6495,0.7743,0.0581
-0.6343,0.4743,-1.6349,-0.503,-0.1101,-0.1581,0.3639,0.0571,-0.077,-0.1574,-0.1365,0.3698,0.6386,0.975,-0.2227
-0.5137,0.2633,-1.308,-0.7539,-0.1904,-0.1193,0.0,-0.3219,-0.854,-0.189,-0.0488,0.0423,0.7106,0.6256,-0.5679
-0.5338,0.5763,-1.4835,-0.5559,-0.022,-0.2426,0.525,-0.1199,-0.5599,-0.2493,-0.0896,-0.3691,0.8846,0.6709,-0.5114
-0.572,0.1236,-1.461,-0.5051,-0.2755,-0.1007,0.2849,-0.2888,-0.3388,-0.4051,-0.0313,-0.5173,0.7653,0.6448,-0.4972
-0.4883,0.4826,-1.6589,-0.5571,-0.2052,-0.1323,0.156,-0.1987,-0.1956,-0.4108,0.005,-0.5379,0.5199,0.7339,-0.5495
-0.6792,0.3988,-1.7801,-0.5163,-0.0837,-0.0703,0.1924,-0.1289,-0.077,-0.5856,0.327,-0.6067,0.4887,0.6231,-0.4203
-0.6482,0.5409,-1.7871,-0.4951,-0.0533,0.069,-0.0063,-0.4391,-0.2581,-0.8328,0.1344,0.0285,0.3279,1.0726,-0.501
