x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
-0.3045,0.1586,0.89,0.1291,0.3974,-0.1251,0.0319,1.3941,-0.199,-0.6086,0.4308,-0.8659,-0.9873,-1.4151,-1.8158
-0.6389,0.2415,1.0328,-0.1771,0.464,-0.0203,0.0747,1.4614,-0.7733,-0.6129,0.745,-0.2662,-0.7352,-1.7329,-1.0611
-0.3138,0.0648,0.9133,-0.1668,0.4914,-0.0736,0.2323,1.3734,-0.688,-0.7732,0.7645,0.0322,-1.037,-1.8588,-0.7957
0.0479,0.1644,1.6357,-0.0876,0.448,-0.5028,0.587,1.974,-0.402,-0.2159,0.9552,0.1651,-0.9385,-1.7104,-0.3198
-0.4938,0.2348,1.1774,0.2573,0.8778,-0.2059,0.2835,2.4775,-0.8292,-0.0966,1.097,0.4389,-1.222,-1.7801,-0.0012
-0.1638,0.5194,1.9648,0.1208,0.6787,-0.1965,0.686,2.204,-0.9436,-0.2296,1.0889,0.7799,-1.5403,-2.0935,0.346
-0.3976,0.8804,2.1019,-0.0289,0.8464,-0.1861,0.601,2.2907,-1.333,0.1782,1.3907,0.9544,-0.9453,-2.0873,0.7036
-0.5269,0.616,2.2576,-0.0046,0.6644,0.1089,0.5958,1.4259,-1.7448,0.3818,1.5041,1.0698,-0.6731,-2.5379,1.0046
-0.8395,0.8804,1.4145,0.0162,0.549,0.5349,0.5944,1.3786,-1.9178,0.5356,1.2703,0.8038,-0.9627,-1.8804,1.6874
-0.467,0.4721,1.5335,-0.1057,0.4837,0.4634,0.5566,1.1717,-1.7582,0.7887,1.091,0.4143,-0.8438,-1.3699,1.5129
-0.6741,0.1219,1.5491,-0.3053,0.3638,0.3359,0.9888,1.0248,-1.263,0.9055,0.9876,0.5547,-0.8521,-1.225,1.1383
-0.366,0.3351,1.9474,-0.1643,0.3519,0.454,0.6382,0.5741,-1.4015,0.8006,1.0526,0.569,-0.6855,-0.7946,1.2617
-0.4872,0.4188,1.2204,-0.1655,0.3071,0.3469,0.8529,0.1727,-1.9614,1.0634,0.7402,0.8323,-0.5676,-0.0754,1.138
-0.8082,0.1372,0.5769,-0.1712,-0.0593,0.4513,0.9329,-0.0852,-1.9543,0.9786,0.405,0.4138,-0.5914,0.5001,1.185
-0.7009,0.1434,-0.771,-0.1464,-0.4249,0.5418,0.662,-0.4809,-1.0604,0.2911,-0.0025,0.5951,-0.197,1.0034,0.5949
-0.1721,-0.0334,-0.3628,0.2555,-0.5999,0.3986,1.0085,-0.8423,-0.0177,-0.0892,-0.1545,0.1139,0.0351,1.2374,-0.2157
-0.4569,-0.1069,-0.2395,0.0771,-0.5501,0.4426,0.909,-1.0619,0.2594,0.0129,-0.1591,-0.2042,0.3769,1.4212,-0.4745
