x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
-1.2013,0.5548,-0.2081,0.5548,0.1973,0.9727,-0.063,-0.2202,-0.7983,0.6691,1.0188,-0.2976,-1.2817,-0.5945,-0.5624,0.0066,0.1194,-0.4887,1.5858,0.1095
-0.896,0.4733,-0.5003,0.9859,0.4768,0.8631,0.3375,-0.6512,-0.6942,0.6406,1.5038,-0.2952,-0.7908,0.0798,-0.3668,-0.2211,-0.5202,-0.5976,1.2735,0.3356
-0.8083,0.6371,-0.713,1.2462,0.0738,0.4646,0.2457,-0.7321,-0.8537,0.3781,1.4638,-0.5238,-0.5622,0.1934,0.0293,0.3732,-0.9356,-0.1034,1.7222,0.7065
-0.6,0.4566,-0.7414,1.2716,-0.4459,0.3392,0.084,-0.8275,-1.1453,0.1878,1.7859,-0.2662,-0.0552,-0.0018,-0.1477,0.0183,-0.4279,-0.1592,1.8159,1.0012
-0.863,0.3122,-0.9518,1.6798,-0.6312,0.0878,-0.2495,-0.5486,-0.8073,0.1232,1.9036,-0.2442,0.3709,0.4807,-0.4033,0.1773,-0.7526,-0.0171,1.8779,2.1257
-0.9817,0.0572,-0.891,2.0399,-1.7518,-0.1243,-1.0826,-0.2223,-0.6151,0.1201,1.1498,-0.5272,0.2167,0.2134,-0.2903,0.1685,-0.9432,0.2275,2.2436,0.9283
-1.0373,0.3703,-1.1248,1.6009,-1.5655,0.0159,-1.2613,0.3411,-0.6172,0.3388,1.181,-0.2658,0.0564,0.0576,-0.3926,0.1252,-0.7802,0.36,1.6942,0.8879
-0.6395,0.1947,-0.7276,1.7065,-1.9007,-0.1177,-1.4183,0.1766,-0.4234,-0.0325,0.678,-0.3416,0.2798,0.14,-0.5783,0.1641,-0.5038,0.4093,1.5011,1.0317
-0.7698,-0.1812,-0.2558,1.1902,-1.885,0.0881,-1.6104,0.184,-0.3318,-0.0583,0.5374,-0.3399,0.4434,-0.2055,-0.7861,-0.1233,-0.6311,0.0832,1.8567,0.5228
-0.9911,0.0053,-0.4259,0.6189,-1.712,0.5259,-1.6009,0.2212,-0.066,-0.051,0.0189,-0.3923,0.4601,-0.0953,-0.6424,0.0657,-1.7474,0.0792,1.4493,1.0989
-0.9234,-0.2158,-0.8906,0.7249,-2.0,0.8095,-1.5833,0.1733,0.0165,-0.1631,-0.4756,-0.1857,0.9071,0.0852,-0.8874,0.7435,-0.1331,0.8068,0.5485,0.2526
-1.0576,-0.4626,-0.1651,0.2877,-1.857,0.5902,-1.4247,0.3112,-0.0148,-0.0824,-0.8512,-0.0847,1.0068,0.1761,-0.9163,0.3807,0.758,0.9421,0.3713,-0.7524
-1.1593,-0.3738,0.1818,-0.3689,-0.8974,0.431,-1.1331,0.2071,-0.0769,0.1415,-0.651,0.0818,0.7762,-0.3194,-0.6033,-0.0009,1.2737,0.4152,0.407,-0.246
-0.8453,-0.4378,0.2733,-0.9908,-0.1376,0.5531,-0.4236,0.9841,-0.058,0.3512,-0.7875,0.2037,1.0002,-0.0189,-0.3575,0.4011,1.0477,-0.0011,-0.4017,-0.4008
-0.0219,-0.2938,0.7938,-1.298,0.2058,0.2485,-0.0269,0.4403,-0.0048,0.5439,-0.7988,0.4748,0.872,0.3376,-0.1423,-0.0133,0.878,-0.4739,-1.0667,-0.407
-0.2145,-0.3576,0.4744,-1.2191,0.6126,-0.1684,0.3203,0.4114,0.0906,0.4951,-0.6034,0.6762,0.6354,0.613,0.4294,1.1084,0.7432,-0.583,-1.2837,-0.3163
