x0,x1,x2,x3,x4
0.0945,0.504,-0.136,0.1096,0.454
0.1409,0.2648,-0.161,0.0639,-0.0262
0.3457,0.1738,-0.3521,-0.2885,-0.0965
0.3058,0.5685,-0.3188,-0.0707,0.3077
0.3405,0.4359,-0.5974,-0.0463,-1.3695
0.2074,0.1788,-0.4518,-0.0962,-1.0174
0.1975,0.8979,-0.3729,0.0048,-0.4694
0.154,0.2149,-0.2128,-0.0162,0.1572
0.0229,0.104,-0.1906,0.0203,0.4454
0.1575,0.1887,-0.0718,-0.0346,0.3817
-0.0435,0.1041,-0.0062,-0.0397,0.4492
-0.0465,0.1358,-0.261,-0.0718,0.1146
-0.1441,0.4942,-0.3759,-0.0393,0.2469
-0.1988,0.5864,-0.2328,0.7657,-0.0005
-0.4233,0.0468,0.073,0.3857,-0.0971
-0.5141,-0.1313,0.2136,-0.0529,0.0795
-0.3141,-0.1958,-0.2212,0.1014,0.1323
-0.1878,-0.2677,0.1511,0.1768,0.1764
-0.1254,-0.0353,0.2356,0.0698,-0.1015
0.0803,-0.1722,0.2248,-0.1675,-0.0677
0.0827,-0.0264,0.2723,0.1617,0.1538
0.1267,-0.0909,0.2191,-0.1597,0.1602
-0.1513,0.4311,-0.0794,-0.2276,0.2271
0.0041,0.063,-0.0349,0.2371,0.0834
0.0056,-0.0166,-0.255,-0.0209,0.4242
0.0537,-0.2133,-0.1515,-0.0194,0.3432
-0.0302,-0.1293,0.0858,-0.239,0.4578
0.0407,-0.1884,0.0365,-0.082,0.5476
0.0303,0.1593,0.065,-0.1327,0.457
-0.2133,0.4285,-0.1264,-0.019,0.1886
-0.0094,0.6971,-0.1147,0.0454,-0.3153
0.0054,0.4675,0.0821,0.2876,-0.0665
0.0134,0.4536,0.1857,-0.1855,-0.0841
0.0469,0.0819,0.038,-0.0731,0.2637
-0.026,0.3199,0.1166,0.1462,0.1811
-0.0289,-0.0522,0.094,0.0596,0.3915
-0.02,0.2304,0.0986,0.214,0.7318
-0.0273,0.0119,-0.049,0.2953,0.3687
-0.105,-0.0932,0.1752,0.345,-0.022
-0.0242,0.049,0.0745,0.1808,0.3493
-0.0858,0.4046,0.0992,0.67,0.3692
-0.1416,0.2534,0.255,0.3902,0.6215
-0.3126,0.2703,0.3697,0.2328,0.422
-0.1436,0.0808,0.2324,0.1734,-0.1817
-0.0693,0.2002,0.1509,0.2687,0.2146
-0.001,0.3667,-0.0222,0.3232,-0.0324
0.4757,0.4953,-0.1599,0.0973,0.1385
0.1379,0.2123,-0.6703,-0.0909,0.2097
0.2422,0.4118,-0.7167,0.0422,0.3382
0.5238,0.1966,-0.6787,-0.3057,0.5095
0.3644,0.4846,-0.9418,0.165,0.7706
0.6825,0.7676,-1.2451,0.1259,0.2202
0.3677,0.3956,-1.0357,0.1622,1.1908
0.2484,0.5212,-0.9319,0.5443,1.4721
0.1405,0.2172,-0.5969,0.17,0.7719
-0.0547,0.2359,-0.6091,0.233,0.5278
-0.1563,0.0576,-0.3673,0.2026,0.5242
-0.1408,0.0031,-0.2221,0.3749,0.8149
-0.1129,0.2182,-0.1636,0.2088,0.5268
-0.1542,0.5471,-0.25,0.1809,0.5188
-0.2987,0.2681,-0.2232,0.1425,1.0018
-0.3471,-0.0141,-0.0474,0.564,0.5499
-0.505,-0.0697,0.0883,0.421,-0.1018
-0.535,-0.2408,0.2522,0.4678,-0.1343
-0.9001,-0.5072,0.2841,0.5313,-0.502
-0.1994,-0.23,0.3749,0.291,-0.7075
-0.0313,-0.1643,-0.1101,0.0225,-0.7688
-0.0167,-0.3498,-0.2881,0.2343,0.3057
