x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
-0.0761,-0.1213,0.1825,0.7846,-0.2574,0.199,0.1514,-0.4688,-0.0137,0.4113,-0.3259,-0.4816,0.2374,1.6498,0.0427
0.103,-0.2661,0.4655,0.8216,-0.4316,0.5457,0.4436,-0.5197,0.0151,0.06,-0.6795,-0.2685,0.5142,2.0361,0.1577
0.35,0.4847,0.2297,0.4427,-0.038,0.1893,0.7561,-0.3098,-0.3057,0.355,-0.8062,-0.0949,0.5296,2.409,0.1929
0.3375,0.5449,0.1586,0.3038,-0.4696,0.6365,0.281,-0.0156,-0.3383,0.1894,-0.4866,-0.2817,-0.2742,2.1448,0.1118
-0.0237,-0.0979,0.4859,0.2474,-0.7066,0.6905,0.223,0.0479,0.3771,0.0672,-0.3971,-0.3823,0.17,1.9636,-0.0616
0.4095,0.1643,0.8315,0.0491,-0.0979,0.3884,0.4837,0.048,0.5165,-0.0492,-0.1729,-0.1225,-0.0138,1.8811,-0.6216
0.4965,-0.1811,-0.186,0.3924,-0.1813,-0.0594,0.3542,0.4481,0.7289,0.2528,-0.3054,0.1276,-0.3257,1.8171,-0.5147
0.2636,-0.4704,-0.1419,0.3876,0.0674,-0.2229,0.2581,0.4505,0.3983,0.186,-0.2373,0.1681,-0.5155,1.1197,0.0165
-0.0306,-0.5148,0.122,-0.2493,0.0214,-0.2275,0.652,-0.0381,0.6268,-0.5768,-0.2264,0.0881,0.1078,0.828,0.3012
0.0389,-0.6477,0.9651,-0.2513,0.2311,-0.0165,0.9484,-0.0165,0.9547,-0.652,-0.4733,0.7515,0.2333,0.8949,0.4623
0.0748,-0.2265,1.1663,-0.6108,1.1488,-0.7577,0.6458,-0.0814,0.8944,-0.7032,-0.6152,0.9498,0.0059,1.1476,0.5043
0.082,-0.4371,0.4585,-0.511,0.9138,-1.2975,-0.2012,-0.1393,1.028,-0.6238,-0.468,0.9937,-0.3115,1.2902,1.0287
0.0252,-0.4587,0.3254,-0.5916,1.3253,-0.3439,-0.7274,0.0255,0.8385,-0.8253,-0.2247,1.0535,0.127,0.9205,1.3657
0.0335,-0.7631,0.2051,-0.8113,1.6178,-0.2966,0.0537,0.1962,0.5088,-0.8042,-0.3778,1.1698,0.5613,1.0194,1.4717
0.272,-0.5194,-0.0919,-1.1097,1.6178,-0.1082,-0.1498,0.3279,0.0579,-0.5718,-0.3462,1.0169,0.3353,0.6065,1.2579
0.6222,-0.4511,-0.5307,-1.1978,1.2218,0.0996,0.0044,0.2635,0.0793,-0.6278,-0.274,0.9863,0.1385,0.3266,0.9886
0.7947,-0.3916,-0.3027,-1.0874,0.9616,0.2841,-0.1032,0.642,-0.0664,-0.5069,-0.3831,1.1011,-0.2852,-0.4349,0.4539
0.9427,-0.2666,-0.1645,-1.0375,0.8054,0.0964,0.0531,0.3736,-0.4119,-0.1865,-0.3316,0.9038,-0.4854,-0.8799,0.3233
0.9116,0.0709,0.0969,-0.8727,0.4362,-0.0619,0.1793,0.5148,-0.3085,-0.2236,0.0556,0.6986,-0.7019,-1.1097,0.1696
0.7159,-0.0954,0.173,-0.8286,0.4036,0.3443,0.3684,0.8546,0.0561,-0.2122,-0.1775,0.6126,-0.7172,-0.987,-0.0656
0.7924,-0.0596,0.213,-0.7184,0.2491,0.0324,0.3828,0.7634,0.0731,-0.2744,-0.5053,0.7512,-0.7892,-1.3465,-0.4466
