dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
1,11,0.476,0.476,2.614,5,0.762,0.762,2.236,0.0959
2,21,0.578,0.533,3.938,14,0.682,0.682,3.742,0.1544
3,48,0.333,0.333,5.272,32,0.556,0.556,5.657,0.4594
5,12,0.5,0.5,2.565,10,0.545,0.545,3.162,0.126
6,27,0.491,0.491,3.801,22,0.56,0.56,4.69,0.4469
7,12,0.571,0.571,2.529,8,0.667,0.667,2.828,0.8738
8,13,0.522,0.435,2.843,4,0.818,0.818,2.0,0.0393
9,25,0.465,0.419,2.819,13,0.606,0.606,3.606,0.8858
10,11,0.476,0.476,2.632,1,0.952,0.952,1.0,0.0384
11,29,0.471,0.431,4.043,22,0.56,0.56,4.69,0.1544
12,24,0.522,0.478,3.922,16,0.636,0.636,4.0,0.1522
13,14,0.417,0.417,3.2,11,0.609,0.522,3.606,0.0365
14,10,0.5,0.5,2.682,6,0.7,0.7,2.449,0.0379
15,14,0.462,0.462,3.026,9,0.571,0.571,3.0,0.0385
16,16,0.462,0.385,3.243,11,0.56,0.56,3.317,0.0372
17,30,0.4,0.4,3.796,26,0.435,0.435,5.099,0.1528
18,10,0.5,0.5,2.678,10,0.5,0.5,3.162,0.0374
19,11,0.56,0.56,2.242,9,0.64,0.64,3.0,0.2884
20,13,0.519,0.519,2.242,9,0.667,0.667,3.0,0.2884
21,11,0.476,0.476,2.614,5,0.762,0.762,2.236,0.0393
22,13,0.609,0.435,2.971,7,0.667,0.667,2.646,0.0382
23,12,0.538,0.538,3.043,8,0.636,0.636,2.828,0.0379
24,19,0.32,0.24,4.053,12,0.4,0.4,3.464,0.0372
25,11,0.421,0.421,2.719,9,0.526,0.526,3.0,0.0318
26,7,0.533,0.533,2.824,7,0.533,0.533,2.646,0.0286
27,8,0.5,0.5,2.634,8,0.5,0.5,2.828,0.0286
28,12,0.455,0.455,2.518,10,0.5,0.5,3.162,0.0336
Overall Average,16.4444 ± 9.0398,0.4843 ± 0.0668,0.4624 ± 0.0712,3.0912 ± 0.7064,11.2593 ± 6.9868,0.6130 ± 0.1196,0.6097 ± 0.1208,3.2242 ± 0.9866,0.1711
