dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
1,5,0.667,0.667,2.544,5,0.667,0.667,2.236,0.2291
2,15,0.545,0.545,3.914,15,0.545,0.545,3.873,0.911
3,29,0.383,0.383,5.247,27,0.426,0.426,5.196,2.6484
5,8,0.556,0.556,2.582,8,0.556,0.556,2.828,0.6323
6,19,0.537,0.537,3.81,19,0.537,0.537,4.359,2.3206
7,12,0.538,0.538,2.544,8,0.636,0.636,2.828,3.893
8,9,0.526,0.526,2.737,1,0.947,0.947,1.0,0.234
9,22,0.474,0.421,2.794,13,0.581,0.581,3.606,4.0052
10,6,0.625,0.625,2.537,4,0.75,0.75,2.0,0.2301
11,21,0.462,0.462,3.999,19,0.513,0.513,4.359,0.9133
12,16,0.556,0.556,3.835,14,0.611,0.611,3.742,0.9116
13,8,0.556,0.556,3.142,8,0.556,0.556,2.828,0.2189
14,9,0.526,0.526,2.667,5,0.737,0.737,2.236,0.2219
15,15,0.348,0.348,3.114,11,0.421,0.421,3.317,0.2248
16,10,0.375,0.375,3.161,10,0.375,0.375,3.162,0.2175
17,17,0.541,0.541,3.648,17,0.541,0.541,4.123,0.9068
18,6,0.625,0.625,2.62,6,0.625,0.625,2.449,0.2206
19,5,0.667,0.667,2.281,5,0.667,0.667,2.236,1.4358
20,6,0.625,0.625,2.278,6,0.625,0.625,2.449,1.3708
21,5,0.667,0.667,2.544,5,0.667,0.667,2.236,0.2465
22,6,0.625,0.625,2.454,4,0.75,0.75,2.0,0.2234
23,13,0.381,0.381,3.122,10,0.444,0.444,3.162,0.2285
24,13,0.353,0.235,3.762,9,0.4,0.4,3.0,0.2231
25,7,0.533,0.533,2.679,7,0.533,0.533,2.646,0.2362
26,10,0.0,0.0,3.162,10,0.0,0.0,3.162,0.1753
27,6,0.571,0.571,2.545,6,0.571,0.571,2.449,0.1786
28,6,0.625,0.625,2.425,6,0.625,0.625,2.449,0.1972
Overall Average,11.2593 ± 6.2363,0.5143 ± 0.1414,0.5080 ± 0.1491,3.0425 ± 0.6974,9.5556 ± 5.8332,0.5669 ± 0.1683,0.5669 ± 0.1683,2.9604 ± 0.9063,0.8687
