dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,46,0.549,0.549,2.243,41,0.589,0.568,6.557,0.8661
dataset_1,57,0.447,0.447,2.291,48,0.5,0.5,6.928,0.9783
dataset_2,48,0.529,0.529,2.251,39,0.589,0.589,6.245,0.4268
dataset_3,51,0.505,0.505,2.292,44,0.542,0.542,6.633,0.7528
dataset_4,55,0.455,0.455,2.358,50,0.489,0.468,7.211,0.323
dataset_5,54,0.438,0.438,2.417,47,0.472,0.472,6.856,0.4636
dataset_6,56,0.472,0.472,2.301,47,0.525,0.525,6.856,1.0039
dataset_7,59,0.416,0.416,2.356,48,0.489,0.489,6.928,0.8572
dataset_8,51,0.505,0.505,2.317,42,0.562,0.562,6.481,1.1995
dataset_9,56,0.44,0.44,2.381,49,0.495,0.473,7.141,0.3168
Overall Average,53.3000 ± 4.1647,0.4756 ± 0.0440,0.4756 ± 0.0440,2.3207 ± 0.0563,45.5000 ± 3.7491,0.5252 ± 0.0432,0.5188 ± 0.0446,6.7836 ± 0.3015,0.7188
