dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,175,0.364,0.291,2.882,130,0.47,0.35,12.41,8.7118
dataset_1,161,0.395,0.309,2.752,125,0.477,0.352,12.207,8.4818
dataset_2,165,0.388,0.304,2.937,119,0.545,0.377,12.288,8.7377
dataset_3,174,0.369,0.287,2.927,127,0.482,0.362,12.288,8.1841
dataset_4,176,0.371,0.29,2.816,117,0.477,0.394,11.533,7.5855
dataset_5,186,0.352,0.273,3.146,133,0.482,0.332,12.767,8.1836
dataset_6,178,0.394,0.299,2.945,124,0.48,0.392,11.916,7.7032
dataset_7,179,0.384,0.298,2.806,125,0.523,0.372,12.45,7.9928
dataset_8,181,0.351,0.279,3.075,130,0.49,0.337,12.649,8.5116
dataset_9,186,0.359,0.29,3.092,133,0.464,0.357,12.45,8.7679
Overall Average,176.1000 ± 8.0891,0.3727 ± 0.0166,0.2920 ± 0.0110,2.9378 ± 0.1316,126.3000 ± 5.4375,0.4890 ± 0.0253,0.3625 ± 0.0212,12.2958 ± 0.3561,8.2860
