dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,58,0.349,0.326,3.633,47,0.405,0.405,6.856,23.0275
dataset_1,57,0.329,0.329,3.417,48,0.385,0.385,6.928,22.8581
dataset_2,58,0.426,0.383,4.398,49,0.483,0.437,7.28,22.4511
dataset_3,57,0.353,0.329,3.529,48,0.41,0.385,7.071,23.5935
dataset_4,54,0.395,0.372,3.392,47,0.43,0.405,7.0,23.4671
dataset_5,59,0.36,0.337,4.02,50,0.415,0.39,7.211,23.1388
dataset_6,58,0.372,0.326,3.742,49,0.405,0.38,7.141,22.5055
dataset_7,57,0.391,0.345,3.793,48,0.45,0.4,7.211,22.4335
dataset_8,55,0.404,0.382,3.84,46,0.463,0.439,6.928,22.3751
dataset_9,59,0.404,0.337,4.074,48,0.463,0.415,7.211,22.4504
Overall Average,57.2000 ± 1.6193,0.3783 ± 0.0304,0.3466 ± 0.0233,3.7838 ± 0.3159,48.0000 ± 1.1547,0.4309 ± 0.0321,0.4041 ± 0.0209,7.0837 ± 0.1483,22.8301
