dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,60,0.651,0.651,1.252,49,0.71,0.684,7.28,1.3675
dataset_1,65,0.624,0.624,1.29,50,0.675,0.675,7.071,1.3418
dataset_2,56,0.682,0.671,1.211,43,0.742,0.715,6.856,1.3651
dataset_3,69,0.63,0.619,1.431,58,0.646,0.646,7.616,1.2872
dataset_4,66,0.633,0.633,1.157,57,0.687,0.65,7.937,1.3414
dataset_5,65,0.655,0.633,1.362,51,0.713,0.675,7.55,1.3534
dataset_6,54,0.683,0.671,1.286,40,0.733,0.733,6.325,1.3228
dataset_7,80,0.574,0.574,1.515,62,0.647,0.635,8.0,1.354
dataset_8,76,0.619,0.608,1.319,61,0.667,0.643,8.062,1.3507
dataset_9,70,0.634,0.624,1.37,58,0.663,0.651,7.746,1.3398
Overall Average,66.1000 ± 8.1847,0.6385 ± 0.0319,0.6308 ± 0.0291,1.3193 ± 0.1053,52.9000 ± 7.5196,0.6883 ± 0.0345,0.6707 ± 0.0325,7.4443 ± 0.5608,1.3424
