dataset,Full_SHD,Full_F1,Full_F1_sign,Full_Frobenius,Summary_SHD,Summary_F1,Summary_F1_sign,Summary_Frobenius,runtime
dataset_0,33,0.718,0.718,1.543,25,0.785,0.766,5.196,7.2679
dataset_1,30,0.754,0.754,1.327,24,0.789,0.789,4.899,7.1262
dataset_2,28,0.767,0.767,1.376,21,0.841,0.804,5.0,7.3149
dataset_3,34,0.717,0.717,1.642,28,0.764,0.745,5.477,7.2238
dataset_4,30,0.762,0.762,1.244,21,0.817,0.817,4.583,7.1278
dataset_5,29,0.784,0.768,1.407,21,0.832,0.814,4.796,7.3836
dataset_6,26,0.787,0.787,1.268,20,0.821,0.821,4.472,7.2692
dataset_7,36,0.679,0.679,1.674,27,0.733,0.733,5.196,7.3903
dataset_8,34,0.761,0.746,1.383,24,0.817,0.8,5.099,7.2251
dataset_9,33,0.756,0.74,1.398,21,0.811,0.811,4.583,7.255
Overall Average,31.3000 ± 3.1640,0.7485 ± 0.0338,0.7438 ± 0.0317,1.4262 ± 0.1473,23.2000 ± 2.8206,0.8010 ± 0.0333,0.7900 ± 0.0314,4.9301 ± 0.3238,7.2584
